id,surname,forename,initials,age_text,honours,date_of_death,date_of_death2,rank,regiment,secondary_regiment,unitshipsquadron,country,servicenumberexport,cemeterymemorial,gravereference,additionalinformation,
1458210,BOLTON-WOOD,ROBERT ALEX,R A,22,,29/08/1916,,Lance Corporal,"Australian Infantry, A.I.F.",,13th Bn.,France,'2108',VILLERS-BRETONNEUX MEMORIAL,,"Son of Alexander and Caroline May Bolton-Wood, of ""Montrose"", Gerard St., Neutral Bay, New South Wales. Born at Sydney."
2931834,BOLTON-WOOD,NOEL ERIC,N E,41,,20/04/1941,,Corporal,Australian Army Service Corps,,A.I.F. 1 Corps Amn. Park,Greece,'NX31822',PHALERON WAR CEMETERY,7. C. 18.,"Son of Alexander and Caroline May Bolton-Wood; husband of Marjorie Irenee Bolton-Wood, of Kingsford, New South Wales, Australia."
514015,BOLTON-WOOD,ALBERT RAYMOND,A R,,M C,05/11/1917,,Captain,"Australian Infantry, A.I.F.",,20th Bn.,France,'',"ST. SEVER CEMETERY, ROUEN","Officers, B. 7. 16.","Son of Alexander and Caroline May Bolton-Wood, of ""Montine,"" Gerard St., Neutral Bay, Sydney, New South Wales."
594118,CARTER WOOD,JOSEPH ALLAN,J A,30,,01/02/1915,,Second Lieutenant,Coldstream Guards,,2nd Bn.,France,,CUINCHY COMMUNAL CEMETERY,II. B. 27.,"Son of Joseph Edmund and Evelyn Alice Carter Wood, of Skinburness Tower, Silloth, Cumberland."
2703554,COUTTS-WOOD,STEWART FARQUHARSON,S F,25,D F C,08/10/1940,,Flight Lieutenant,Royal Air Force,,,United Kingdom,'37794',NOTTINGHAM CREMATORIUM,,
2703116,COUZIN WOOD,KEITH ROLLASON,K R,16,,29/07/1942,,Cadet,Air Training Corps,,408 Sqdn.,United Kingdom,,NEWARK-UPON-TRENT CEMETERY,Sec. G. Grave 309A.,"Son of James Frederick and Phyllis Adeline Couzin Wood, of Leigh-on-Sea, Essex."
392824,CRAWFORD-WOOD,,J P,,,23/10/1917,,Probationary Flight Officer,Royal Naval Air Service,,,United Kingdom,,ALKERTON (ST. MICHAEL) CHURCHYARD,,
429654,CRAWFORD-WOOD,GUY,G,21,,01/07/1916,,Second Lieutenant,Welsh Guards,,1st Bn.,Belgium,,BRANDHOEK MILITARY CEMETERY,II. J. 2.,"Son of James Crawford-Wood, J.P., of Alkerton House, nr. Banbury, Oxon."
2096461,CURRIE-WOOD,THOMAS CURRIE,T C,22,,07/06/1942,,Private,"Royal Durban Light Infantry, S.A. Forces",,1st Bn.,Libya,'5079',"KNIGHTSBRIDGE WAR CEMETERY, ACROMA",13. A. 3.,"Son of Thomas G. Currie-Wood and Lois M. Currie-Wood, of Durban. Natal, South Africa."
33492,DRAYCOTT-WOOD,,W,,M C,29/06/1915,,Second Lieutenant,South Staffordshire Regiment,,2nd Bn.,France,,CAMBRIN MILITARY CEMETERY,B. 29.,
2952571,DUNFORD-WOOD,HUGH DIARMID SHERBROOKE,H D S,26,,08/06/1940,,Flying Officer,Royal Air Force,,21 Sqdn.,France,'40215',ABBEVILLE COMMUNAL CEMETERY EXTENSION,Plot 8. Row A. Joint grave 8-9.,"Son of Joseph and Meta Macnaughton Dunford-Wood; husband of Peggy Joan Dunford-Wood, of Clapham Park, London."
2085348,EKWAA WOOD,,,,,28/06/1944,,Sapper,"West African Engineers, R.W.A.F.F.",,,Myanmar,'GC/34357',TAUKKYAN WAR CEMETERY,3. A. 11.,
693474,GIFFORD-WOOD,LESLIE KEITH,L K,,,22/08/1915,,Second Lieutenant,Yorkshire Regiment,,6th Bn.,Turkey (including Gallipoli),,HELLES MEMORIAL,Panel 55 to 58.,
2479873,GOFFE-WOOD,WILLIAM FREDERICK,W F,33,,27/10/1940,,Stoker 1st Class,Royal Navy,,H.M. Submarine H.49.,United Kingdom,'D/K 65955',PLYMOUTH NAVAL MEMORIAL,"Panel 41, Column 1.","Son of Edmund Thomas Goffe-Wood and Caroline Goffe-Wood; husband of Edith Ellen Goffe-Wood, of Tooting, Surrey."
1800813,HUNTLY-WOOD,IAN MCARTAIR,I M C A,,D F C,03/09/1943,,Squadron Leader,Royal Air Force Volunteer Reserve,,207 Sqdn.,United Kingdom,'62322',RUNNYMEDE MEMORIAL,Panel 118.,
551980,HURD-WOOD,JOHN GRAHAME,J G,,,04/08/1916,,Captain,General List,,,France,'',ALBERT COMMUNAL CEMETERY EXTENSION,I. M. 7.,
2370127,KING-WOOD,EDWARD JOHN,E J,32,Mentioned in Despatches,14/12/1940,,Lieutenant,Royal Naval Reserve,,French Ship Branlebas,United Kingdom,,PORTSMOUTH NAVAL MEMORIAL,"Panel 44, Column 1.","Son of William King-Wood, C.S.I., and Daisy Grace King-Wood; husband of Florence Mary King-Wood, of Larne, Co. Antrim, Northern Ireland."
800104,LEE-WOOD,ALFRED,A,30,,01/07/1916,,Captain,Lancashire Fusiliers,,15th Bn.,France,,THIEPVAL MEMORIAL,Pier and Face 3 C and 3 D.,Son of James and Maria Anne Lee-Wood.
3123377,MOORE-WOOD,GWLADYS ETHEL,G E N,36,,23/06/1944,,Civilian,Civilian War Dead,,,Civilian War Dead,,WESTMINSTER CITY,,of 36 Buckingham Gate. Widow of Humphrey Moore-Wood. Died at 36 Buckingham Gate.
2102290,McCONNELL-WOOD,IAN,I,,,20/10/1944,,Captain,Royal Army Service Corps,,,Germany,'108035',DURNBACH WAR CEMETERY,3. B. 7.,
535825,O'HARA WOOD,ARTHUR HOLROYD,A H,28,,04/10/1918,,Major,Royal Air Force,,"22nd Wing, 46th Sqdn.",France,,"BRONFAY FARM MILITARY CEMETERY, BRAY-SUR-SOMME",II. G. 19.,"Son of Catherine Compton O'Hara Wood, of ""Crest Hill,"" Lansdowne Rd., East S Kilda, Melbourne, Australia, and the late John James O'Hara Wood."
2500561,SEARLES-WOOD,JOHN VALENTINE,J V,20,,20/02/1940,,Sub-Lieutenant,Royal Naval Patrol Service,,R.N. H.M. Trawler Fifeshire.,United Kingdom,,LOWESTOFT NAVAL MEMORIAL,"Panel 1, Column 2.","Son of Comdr. Valentine Searles-Wood, R.N., and Sibyl Read Searles-Wood, of West Moor, Dorsetshire."
101486,WOOD,,W J,,,01/07/1917,,Private,Coldstream Guards,,4th Bn.,Belgium,'14295',ARTILLERY WOOD CEMETERY,VI. B. 15.,
101870,WOOD,FRANCIS STANLEY,F S,26,,06/10/1916,,Serjeant,Middlesex Regiment,,12th Bn.,France,'3207',ETRETAT CHURCHYARD,II. C. 6.,"Son of Henry and Rose Wood; husband of L. L. Wood, of 23, Prospero Rd., St. John's Rd., Holloway, London."
102137,WOOD,JOHN,J,21,M M,21/07/1918,,Lance Corporal,Royal Scots,,5th/6th Bn.,France,'275297',ETRETAT CHURCHYARD EXTENSION,II. E. 15.,Son of John and Mary Wood.
102138,WOOD,WILFRED JOHN,W J,19,,10/11/1918,,Private,East Surrey Regiment,,8th Bn.,France,'42136',ETRETAT CHURCHYARD EXTENSION,III. D. 11.,"Son of John Thomas and Rose Wood, of West View, Hanford, Stoke-on-Trent."
102565,WOOD,ROBERT C.,R C,25,,02/07/1915,,Private,Durham Light Infantry,,1st/5th Bn.,Belgium,'5/1668',R.E. FARM CEMETERY,II. C. 6.,"Son of Jonathan and Harriet Wood, of 110, New Third St., Horden Colliery, Co. Durham."
102566,WOOD,WILLIAM,W,20,,09/07/1915,,Lance Corporal,Durham Light Infantry,,1st/5th Bn.,Belgium,'5/2078',R.E. FARM CEMETERY,II. D. 2.,"Son of William and Elizabeth Wood, of 8, Twelfth St., Horden, Co. Durham."
104303,WOOD,,A,40,,20/09/1917,,Private,Sherwood Foresters (Notts and Derby Regiment),,15th Bn. attd. 16th Bn. ,Belgium,'92296',PERTH CEMETERY (CHINA WALL),II. H. 8.,
104942,WOOD,JOHN STEPHEN,J S,,,14/10/1917,,Driver,Royal Field Artillery,,19th Div. Ammunition Col.,Belgium,'106176',VOORMEZEELE ENCLOSURES NO.1 AND NO.2,I. L. 12.,
104943,WOOD,,W,33,,29/07/1917,,Corporal,Tank Corps,,2nd Heavy Bty.,Belgium,'206119',VOORMEZEELE ENCLOSURES NO.1 AND NO.2,I. F. 11.,"Son of James Wood, of 2, Lylesland Terrace, Paisley."
105324,WOOD,CHARLES,C,19,,03/06/1917,,Private,Northumberland Fusiliers,,11th Bn.,Belgium,'34052',OOSTTAVERNE WOOD CEMETERY,VI. D. 8/9.,"Son of Daniel and Catherine Wood, of 33, Jubilee St., Wallsend-on-Tyne. Born at Broomside, Durham."
105325,WOOD,ERNEST,E,36,,05/05/1915,,Private,Queen's Own (Royal West Kent Regiment),,1st Bn.,Belgium,'G/5068',OOSTTAVERNE WOOD CEMETERY,VIII. H. 16.,"Son of Thomas Wood, of Molash, Canterbury, Kent."
105326,WOOD,HERBERT,H,29,,08/06/1917,,Rifleman,Rifle Brigade,,3rd Bn.,Belgium,'S/8986',OOSTTAVERNE WOOD CEMETERY,I. A. 6.,"Husband of Eliza Ann Burt (formerly Wood), of 49, Caerau Rd., Caerau, Bridgend, Glam."
1057487,WOOD,ARTHUR,A,24,,01/06/1943,,Private,Durham Light Infantry,,2nd Bn.,Bangladesh,'3131742',MAYNAMATI WAR CEMETERY,3. E. 1.,"Son of Clarence Taylor Wood and Louisa Wood, of Dewsbury, Yorkshire."
1057488,WOOD,DOUGLAS,D,24,,04/07/1944,,Rifleman,Cameronians (Scottish Rifles),,1st Bn.,Bangladesh,'2881865',MAYNAMATI WAR CEMETERY,10. F. 4.,"Son of John Wood, and of Jessie Wood, of Dunecht, Aberdeenshire."
107175,WOOD,,B,,,03/06/1916,,Private,Royal Fusiliers,,12th Bn.,Belgium,'19132',BERKS CEMETERY EXTENSION,II. C. 57.,
107176,WOOD,,H L,25,,23/06/1917,,Gunner,Royal Garrison Artillery,,353rd Siege Bty.,Belgium,'334697',BERKS CEMETERY EXTENSION,II. D. 56.,"Son of Joseph and Mary Alice Wood, of 159, Harvey Lane, Golborne, Warrington."
107786,WOOD,JOHN ERNEST,J E,25,,29/04/1916,,Private,Canadian Infantry,,29th Bn.,Belgium,'442510',KORTRIJK (ST. JAN) COMMUNAL CEMETERY,B. 35.,"Only son of J. W. and Bridget Wood, of Canyon, British Columbia."
108093,WOOD,GEORGE CHARLES,G C,23,,12/05/1915,,Private,Hampshire Regiment,,2nd Bn.,Egypt,'8278',ALEXANDRIA (CHATBY) MILITARY AND WAR MEMORIAL CEMETERY,S. 766.,"Son of William Castle Wood and Clara Wood, of 15, Union St., Rochester, Kent."
110207,WOOD,,A,20,,16/10/1915,,Private,Middlesex Regiment,,2nd/10th Bn.,Egypt,'1817',ALEXANDRIA (CHATBY) MILITARY AND WAR MEMORIAL CEMETERY,D. 56.,"Son of A. H and E. E. Wood, of 29, Devonshire Rd., Pinner Rd., Harrow, Middx."
110208,WOOD,BERTRAM BARRETT,B B,,,30/04/1915,,Serjeant,"Canterbury Regiment, N.Z.E.F.",,,Egypt,'6/1083',ALEXANDRIA (CHATBY) MILITARY AND WAR MEMORIAL CEMETERY,E. 95.,"Son of Arthur and Prances Wood, of Huddersfield, England."
110209,WOOD,,H R,,,09/11/1915,,Private,Welsh Regiment,,8th Bn.,Egypt,'13365',ALEXANDRIA (CHATBY) MILITARY AND WAR MEMORIAL CEMETERY,B. 149.,
110210,WOOD,ROBERT SAMUEL,R S,,,11/06/1915,,Private,"Australian Infantry, A.I.F.",,2nd Bn,Egypt,'570',ALEXANDRIA (CHATBY) MILITARY AND WAR MEMORIAL CEMETERY,L. 98.,"Son of Mr. A. Wood, of Waterloo St., Saint John, New Brunswick, Canada."
110211,WOOD,,R,,,25/10/1915,,Private,Manchester Regiment,,11th Bn.,Egypt,'3553',ALEXANDRIA (CHATBY) MILITARY AND WAR MEMORIAL CEMETERY,D. 10.,
110212,WOOD,THOMAS,T,21,,26/05/1915,,Able Seaman,Royal Naval Volunteer Reserve,,Drake Bn. R.N. Div.,Egypt,'KW/350',ALEXANDRIA (CHATBY) MILITARY AND WAR MEMORIAL CEMETERY,L. 126.,"Son of David Stark Wood and Elizabeth Matilda Wood, of The Rose Grove Rd., Rayleigh. Essex."
110815,WOOD,,A,,,13/02/1920,,Private,Queen's Own (Royal West Kent Regiment),,1st/4th Bn.,Egypt,'200144',PORT SAID WAR MEMORIAL CEMETERY,S. 31.,
110816,WOOD,CHARLES,C,,,19/08/1916,,Lance Serjeant,"Auckland Mounted Rifles, N.Z.E.F.",,,Egypt,'13/581',PORT SAID WAR MEMORIAL CEMETERY,N. 42.,
110817,WOOD,,H,,,18/12/1917,,Private,London Regiment,,1st/10th Bn.,Egypt,'421559',PORT SAID WAR MEMORIAL CEMETERY,C. 30.,
111835,WOOD,GEORGE EDWARD,G E,23,,08/08/1918,,Private,East Yorkshire Regiment,,1st Bn.,France,'50689',"MAILLY WOOD CEMETERY, MAILLY-MAILLET",II. P. 6.,"Son of Edward W. and J. Wood, of 86, Newburn St., Upper Kennington Lane, Vauxhall, London. Enlisted Aug., 1914."
111836,WOOD,,J,,,25/06/1916,,Serjeant,Seaforth Highlanders,,2nd Bn.,France,'8163',"MAILLY WOOD CEMETERY, MAILLY-MAILLET",I. A. 3.,
113917,WOOD,ALBERT FOSTER,A F,38,,13/05/1915,,Private,"Australian Infantry, A.I.F.",,2nd Bn.,Egypt,'476',CAIRO WAR MEMORIAL CEMETERY,B. 246.,"Son of Ammon and Mary Ann Wood. Born at Geelong, Victoria, Australia."
113918,WOOD,ANTHONY,A,,,01/08/1915,,Sergeant,"Australian Infantry, A.I.F.",,4th Bn.,Egypt,'1638',CAIRO WAR MEMORIAL CEMETERY,B. 345.,
113919,WOOD,ERNEST,E,18,,04/06/1916,,Private,Manchester Regiment,,1st/7th Bn.,Egypt,'2368',CAIRO WAR MEMORIAL CEMETERY,F. 85.,"Son of  Isaac and Bessie W. Wood, of 10, Glanvor Rd., Edgeley, Stockport, Cheshire."
113920,WOOD,FRANK,F,,,07/10/1915,,Driver,Australian Army Service Corps,,17th Coy.,Egypt,'6576',CAIRO WAR MEMORIAL CEMETERY,D. 123.,"Son of Robert T. and Marion Wood. Born at Bundaberg, Queensland."
113921,WOOD,GEORGE HUNTLY,G H,,Mentioned in Despatches,11/08/1916,,Captain,New Zealand Medical Corps,,,Egypt,'3/2053',CAIRO WAR MEMORIAL CEMETERY,F. 129.,
113922,WOOD,JOHN WILLIAM,J W,20,,05/03/1916,,Private,Australian Army Medical Corps,,1st Australian Gen. Hosp.,Egypt,'2095',CAIRO WAR MEMORIAL CEMETERY,D. 342.,"Son of Edward Charles and Rebecca Wood, of 19, Victoria St., Windsor, Victoria, Australia. Born at Bealiba, Victoria."
113923,WOOD,WILLIAM,W,34,,18/10/1915,,Private,Royal Marine Light Infantry,,"H.M.S. ""Venerable""",Egypt,'PO/10438',CAIRO WAR MEMORIAL CEMETERY,D. 145.,"Husband of Ida Lilly Wood, of 20, Common St., Landport, Portsmouth."
1155974,WOOD,,F,21,,25/10/1947,,Private,"The Parachute Regiment, A.A.C.",,2nd Bn.,Israel and Palestine (including Gaza),'14946274',KHAYAT BEACH WAR CEMETERY,E. B. 16.,"Son of James Arrol Wood and Annie Wood, of Grangemouth, Stirlingshire."
1155975,WOOD,HERBERT OWEN,H O,31,,02/10/1943,,Corporal,Royal Armoured Corps,,,Israel and Palestine (including Gaza),'7914094',KHAYAT BEACH WAR CEMETERY,D. A. 1.,"Son of Alfred M. Wood and Amy Wood; husband of Amy Wood, of Almondbury, Huddersfield."
1155976,WOOD,WILLIAM KENNETH,W K,22,,29/11/1941,,Sapper,Royal Engineers,,2 Field Sqn.,Israel and Palestine (including Gaza),'2072493',KHAYAT BEACH WAR CEMETERY,B. E. 11.,"Son of Neil Kenneth and Gladys Wood, of Prenton, Cheshire."
116057,WOOD,CYRIL GORDON,C G,22,,19/09/1915,,Lieutenant,East Lancashire Regiment,,6th Bn.,Malta,,PIETA MILITARY CEMETERY,B. XIII. 2.,"Son of Charles Herbert and Susanna Grace Wood, of 16, Stanwick Rd., West Kensington, London. Native of Dorking, Surrey."
116058,WOOD,,F,,,26/01/1916,,Private,King's Own Scottish Borderers,,1st Bn.,Malta,'19944',PIETA MILITARY CEMETERY,C. VII. 3.,
116059,WOOD,,J,35,,12/12/1916,,Private,Army Service Corps,,53rd Field Bakery,Malta,'S4/085984',PIETA MILITARY CEMETERY,D. XVI. 5.,"Son of Thomas Needham Wood and Ruth Wood, of Scarborough; husband of Sarah Jane Wood, of 46, Merrion St., Leeds."
117238,WOOD,ALBERT,A,28,,24/05/1916,,Private,The King's (Liverpool Regiment),,4th Bn.,France,'11129',LE TREPORT MILITARY CEMETERY,Plot 2. Row M. Grave 3.,"Son of James and Ada Wood, of 116, Hollins Lane, Unsworth, nr. Whitfield."
117239,WOOD,,J,48,,29/11/1915,,Gunner,Royal Field Artillery,,22nd Bde.,France,'24823',LE TREPORT MILITARY CEMETERY,Plot 2. Row J. Grave 2C.,"Son of Angelina and the late James Wood, of 3, Alpha Terrace, Uphall Road, Ilford. Served in the South African Campaign."
117591,WOOD,BERTRAM,B,23,,04/09/1916,,Private,Duke of Wellington's (West Riding Regiment),,4th Bn.,France,'2553',FORCEVILLE COMMUNAL CEMETERY AND EXTENSION,Plot 3. Row B. Grave 18.,"Son of Edward and Clara Wood, of Hipperholme, near Halifax, Yorkshire."
117592,WOOD,GEORGE,G,30,,14/05/1918,,Able Seaman,Royal Naval Volunteer Reserve,,Anson Bn. R.N. Div.,France,'TZ/3467',FORCEVILLE COMMUNAL CEMETERY AND EXTENSION,Plot 4. Row D. Grave 1.,"Son of George and Elizabeth Wood, of 97, Palatine Street, South Shields, Durham."
118436,WOOD,,H G,,,05/04/1918,,Bombardier,Royal Field Artillery,,"""C"" Bty. 112th Bde.",France,'17033',BERTRANCOURT MILITARY CEMETERY,Plot 2. Row B. Grave 11.,
